valid,1

"Full Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,64,386.324542,4.050998,1,S,,,,,,"mref(ref) iteration #1"
104.milc,64,382.260667,4.094065,0,S,,,,,,"mref(ref) iteration #2"
107.leslie3d,64,990.164237,5.271853,1,S,,,,,,"mref(ref) iteration #1"
107.leslie3d,64,983.948092,5.305158,0,S,,,,,,"mref(ref) iteration #2"
113.GemsFDTD,64,736.337836,8.56672,0,S,,,,,,"mref(ref) iteration #1"
113.GemsFDTD,64,738.476124,8.541915,1,S,,,,,,"mref(ref) iteration #2"
115.fds4,64,451.743756,4.31882,1,S,,,,,,"mref(ref) iteration #1"
115.fds4,64,451.705721,4.319184,0,S,,,,,,"mref(ref) iteration #2"
121.pop2,64,573.377865,7.199441,0,S,,,,,,"mref(ref) iteration #1"
121.pop2,64,573.921769,7.192618,1,S,,,,,,"mref(ref) iteration #2"
122.tachyon,64,340.485799,8.214733,0,S,,,,,,"mref(ref) iteration #1"
122.tachyon,64,341.807608,8.182966,1,S,,,,,,"mref(ref) iteration #2"
126.lammps,64,452.589061,6.440721,1,S,,,,,,"mref(ref) iteration #1"
126.lammps,64,452.093536,6.447781,0,S,,,,,,"mref(ref) iteration #2"
127.wrf2,64,736.174193,10.589885,0,S,,,,,,"mref(ref) iteration #1"
127.wrf2,64,736.514472,10.584992,1,S,,,,,,"mref(ref) iteration #2"
128.GAPgeofem,64,360.73189,5.724473,0,S,,,,,,"mref(ref) iteration #1"
128.GAPgeofem,64,360.8145,5.723162,1,S,,,,,,"mref(ref) iteration #2"
129.tera_tf,64,333.153551,8.308481,0,S,,,,,,"mref(ref) iteration #1"
129.tera_tf,64,333.3078,8.304636,1,S,,,,,,"mref(ref) iteration #2"
130.socorro,64,725.483119,5.261322,0,S,,,,,,"mref(ref) iteration #1"
130.socorro,64,725.616323,5.260356,1,S,,,,,,"mref(ref) iteration #2"
132.zeusmp2,64,460.346351,6.740577,0,S,,,,,,"mref(ref) iteration #1"
132.zeusmp2,64,461.588784,6.722434,1,S,,,,,,"mref(ref) iteration #2"
137.lu,64,405.172066,9.072689,1,S,,,,,,"mref(ref) iteration #1"
137.lu,64,376.797986,9.755891,0,S,,,,,,"mref(ref) iteration #2"

"Selected Results Table"

Benchmark,"Base # Ranks","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Ranks","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
104.milc,64,386.324542,4.050998,1,S,,,,,NR,"SelectedIteration (base #1)"
107.leslie3d,64,990.164237,5.271853,1,S,,,,,NR,"SelectedIteration (base #1)"
113.GemsFDTD,64,738.476124,8.541915,1,S,,,,,NR,"SelectedIteration (base #2)"
115.fds4,64,451.743756,4.31882,1,S,,,,,NR,"SelectedIteration (base #1)"
121.pop2,64,573.921769,7.192618,1,S,,,,,NR,"SelectedIteration (base #2)"
122.tachyon,64,341.807608,8.182966,1,S,,,,,NR,"SelectedIteration (base #2)"
126.lammps,64,452.589061,6.440721,1,S,,,,,NR,"SelectedIteration (base #1)"
127.wrf2,64,736.514472,10.584992,1,S,,,,,NR,"SelectedIteration (base #2)"
128.GAPgeofem,64,360.8145,5.723162,1,S,,,,,NR,"SelectedIteration (base #2)"
129.tera_tf,64,333.3078,8.304636,1,S,,,,,NR,"SelectedIteration (base #2)"
130.socorro,64,725.616323,5.260356,1,S,,,,,NR,"SelectedIteration (base #2)"
132.zeusmp2,64,461.588784,6.722434,1,S,,,,,NR,"SelectedIteration (base #2)"
137.lu,64,405.172066,9.072689,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECmpiM_base2007,6.634026,,6.634026
SPECmpiM_peak2007,"Not Run",,,,,,,"Not Run"

"Run number:",087

"System Vendor:",SGI
"System Name:","SGI Altix ICE 8200EX (Intel Xeon X5472, 3.00 GHz)"
"Date tested:",May-2008
"MPI2007 License:",4
"Test sponsor:",SGI
"Tested by:",SGI
"Hardware avail:",Mar-2008
"Software avail:",Apr-2008


"Node Description: SGI Altix ICE 8200EX Compute Node"

HARDWARE

"Number of nodes",8
"Uses of the node",compute
Vendor,SGI
Model,"SGI Altix ICE 8200EX (Intel Xeon X5472, 3.00 GHz)"
"CPU Name","Intel Xeon X5472"
"CPU(s) orderable","1-2 chips"
"Chips enabled",2
"Cores enabled",8
"Cores per chip",4
"Threads per core",1
"CPU Characteristics","Quad Core, 3.0GHz"
"CPU MHz",3000
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","12 MB I+D on chip per chip, 6 MB shared / 2 cores"
"L3 Cache",None
"Other Cache",None
Memory,"16 GB (8*2GB PC2-6400 CL5-5-5 FB-DIMMs)"
"Disk Subsystem",None
"Other Hardware",None
Adapter,"Mellanox MT26418 ConnectX IB DDR"
,"(PCIe x8 Gen2 5 GT/s)"
"Number of Adapters",1
"Slot Type","PCIe x8 Gen2"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",2
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MT26418 ConnectX IB DDR"
,"(PCIe x8 Gen2 5 GT/s)"
"Adapter Driver",OFED-1.3
"Adapter Firmware",2.3.0
"Operating System","SUSE Linux Enterprise Server 10 (x86_64) SP1"
,"Kernel 2.6.16.46-0.12-smp"
"Local File System",NFSv3
"Shared File System","NFSv3 IPoIB"
"System State","Multi-user, run level 3"
"Other Software","SGI ProPack 5 for Linux Service Pack 5"


"Node Description: SGI InfiniteStorage NAS/SAN"

HARDWARE

"Number of nodes",1
"Uses of the node",fileserver
Vendor,SGI
Model,"SGI Altix 450 Density System (Itanium 2"
,"Processor 9030 1.6GHz/8M)"
"CPU Name","Dual-Core Intel Itanium 2 9030"
"CPU(s) orderable","1-38 chips"
"Chips enabled",2
"Cores enabled",4
"Cores per chip",2
"Threads per core",1
"CPU Characteristics","533 MHz FSB"
"CPU MHz",1594
"Primary Cache","16 KB I + 16 KB D on chip per core"
"Secondary Cache","1 MB I + 256 KB D on chip per core"
"L3 Cache","4 MB I+D on chip per core"
"Other Cache",None
Memory,"24 GB (6*4GB DDR2-400 DIMMS)"
"Disk Subsystem","16 TB RAID 5"
,"32 x 500 GB SATA (Seagate Barracuda 7200 rpm)"
"Other Hardware",None
Adapter,"Mellanox MT25208 InfiniHost III Ex"
,"(PCIe x8 Gen1 2.5 GT/s)"
"Number of Adapters",2
"Slot Type","PCIe x8 Gen1"
"Data Rate","InfiniBand 4x DDR"
"Ports Used",2
"Interconnect Type",InfiniBand

SOFTWARE

Adapter,"Mellanox MT25208 InfiniHost III Ex"
,"(PCIe x8 Gen1 2.5 GT/s)"
"Adapter Driver",OFED-1.3
"Adapter Firmware",5.2.0
"Operating System","SUSE Linux Enterprise Server 10 (ia64) SP1"
,"Kernel 2.6.16.54-0.2.5-default"
"Local File System",xfs
"Shared File System",--
"System State","Multi-user, run level 3"
"Other Software","SGI ProPack 5 for Linux Service Pack 5"


"Interconnect Description: InfiniBand (MPI)"

HARDWARE

Vendor,"Mellanox Technologies"
Model,"MT26418 ConnectX"
"Switch Model","Mellanox MT47396 InfiniScale III"
"Number of Switches",32
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,2020001
Topology,Hypercube
"Primary Use","MPI traffic"


"Interconnect Description: InfiniBand (I/O)"

HARDWARE

Vendor,"Mellanox Technologies"
Model,"MT26418 ConnectX"
"Switch Model","Mellanox MT47396 InfiniScale-III"
"Number of Switches",32
"Number of Ports",24
"Data Rate","InfiniBand 4x DDR"
Firmware,2020001
Topology,Hypercube
"Primary Use","I/O traffic"


"BENCHMARK DETAILS"

"Type of System",Homogeneous
"Total Compute Nodes",8
"Total Chips",16
"Total Cores",64
"Total Threads",64
"Total Memory","128 GB"
"Base Ranks Run",64
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"C Compiler","Intel C Compiler for Linux"
,"Version 10.1, Build 20080312"
"C++ Compiler","Intel C++ Compiler for Linux"
,"Version 10.1, Build 20080312"
"Fortran Compiler","Intel Fortran Compiler for Linux"
,"Version 10.1, Build 20080312"
"Base Pointers",64-bit
"Peak Pointers",64-bit
"MPI Library","Intel MPI 3.1.038"
"Other MPI Info","OFED 1.3"
Pre-processors,None
"Other Software",None

"General Notes"

"Required alternate sources:"
"   129.tera_tf: fixbuffer"

"Base Compiler Invocation"
104.milc," mpiicc"," mpiicc"
107.leslie3d," mpiifort"," mpiifort"
113.GemsFDTD," mpiifort"," mpiifort"
115.fds4," mpiicc"," mpiifort"," mpiifort"
121.pop2," mpiicc"," mpiifort"," mpiifort"
122.tachyon," mpiicc"," mpiicc"
126.lammps," mpiicpc"," mpiicpc"
127.wrf2," mpiicc"," mpiifort"," mpiifort"
128.GAPgeofem," mpiicc"," mpiifort"," mpiicc"," mpiifort"
129.tera_tf," mpiifort"," mpiifort"
130.socorro," mpiicc"," mpiifort"," mpiifort"
132.zeusmp2," mpiicc"," mpiifort"," mpiifort"
137.lu," mpiifort"," mpiifort"

"Base Portability Flags"
104.milc
107.leslie3d
113.GemsFDTD
115.fds4
121.pop2," -DSPEC_MPI_CASE_FLAG"
122.tachyon
126.lammps," -DMPICH_IGNORE_CXX_SEEK"
127.wrf2," -DSPEC_MPI_CASE_FLAG"," -DSPEC_MPI_LINUX"
128.GAPgeofem
129.tera_tf
130.socorro
132.zeusmp2
137.lu

"Base Optimization Flags"
104.milc," -O3"," -ipo"," -xT"," -no-prec-div"
107.leslie3d," -O3"," -ipo"," -xT"," -no-prec-div"
113.GemsFDTD," -O3"," -ipo"," -xT"," -no-prec-div"
115.fds4," -O3"," -ipo"," -xT"," -no-prec-div"," -O3"," -ipo"," -xT"," -no-prec-div"
